k	a	set	resolving?
10	2	0110111001,0111001011,0111111110,1101011010,1101100011,1110110010,1111011111	True
10	2	0000111111,0001010101,0010100110,0011011001,1000110000,1010010101,1011001110	True
10	2	0001110111,0011011011,1001011011,1010000110,1011111000,1100111010,1111011111	True
10	2	0000111110,0001101100,0010100101,0011111011,0101100110,1001101111,1011000010	True
10	2	0000011000,0001000111,0010110011,0100100100,0110000011,1100011101,1101110011	True
10	2	0001000111,0001011001,0111000010,1001101010,1010010100,1011111011,1101000101	True
10	2	0001110100,0010000101,0010111110,0101000010,0111001100,1110010010,1111010011	True
10	2	0000010100,0110101101,0110111010,1010100011,1010111000,1100100010,1100111101	True
10	2	0000001100,0010010001,0010100011,0011001000,0110000110,0110011110,1110110100	True
10	2	0110010010,0110011011,0110111110,1010011000,1101110010,1110100001,1111001100	True
10	2	0101100000,1000111011,1100100101,1100101110,1110011001,1110110010,1111011111	True
10	2	0100000110,0100100000,0100111011,0101110111,0111011011,1101011101,1110111100	True
10	2	0000010101,0010000011,0010110000,1000111011,1010011100,1100010011,1110111101	True
10	2	0001001100,0001110000,0101011101,0111000010,1100110100,1101100001,1101110111	True
10	2	0010101101,0100110010,0101010101,1100000100,1100011110,1101100110,1111110101	True
10	2	0010101110,0011011111,0110001010,0110101101,0111110011,1010000001,1100010011	True
10	2	0000011000,0011010101,0100101100,1001000101,1010001001,1010111101,1111111001	True
10	2	0101001111,0101100011,0110010110,1010110111,1011000101,1101011010,1101100110	True
10	2	0001000011,0001111011,0100000010,0111101111,1001100000,1100100011,1101010101	True
10	2	0001101001,0011111000,0111010011,1000111011,1001010101,1001100000,1110111001	True
10	2	0000111101,0001101011,0110101000,0110110010,0111000101,1010100111,1110101011	True
10	2	0000100111,0010110100,0011001101,0110010110,0111101011,1010001111,1011111011	True
10	2	0011010010,0110110110,0111010101,0111111001,1010100100,1010111011,1111001000	True
10	2	0001100100,0011010000,0101010001,1001111100,1010010111,1101000000,1110110100	True
10	2	0001001110,0001011011,0001100010,0011010101,0111010111,1101100001,1101111000	True
10	2	0000110011,0011101011,0110011000,0111110000,1010010000,1100100001,1110110111	True
10	2	0001000001,0001110010,0011101100,0110100110,0110110001,1000000100,1011010100	True
10	2	0001011100,0010011101,0100000001,1000101100,1011100101,1101010111,1111011000	True
10	2	0100001111,0100010010,0101000100,1000000011,1000100101,1101011100,1101101000	True
10	2	0001011011,0010011100,0110100001,1000011111,1001101101,1011111011,1100001000	True
10	2	0010111101,0101001011,0110100000,1000100001,1100111111,1101110010,1110010001	True
10	2	0001011001,0001110010,0011100101,0100101001,1010011010,1110000000,1111111010	True
10	2	0000111010,0011010010,1001000100,1010000111,1011111000,1101111110,1110100100	True
10	2	0000001111,0000011001,0011101100,0100110110,0111110011,1010011101,1011110010	True
10	2	0100101000,0101111111,0110010011,0111000000,1101001011,1101010010,1111011110	True
10	2	0000100101,0001110110,0010001110,0010011000,0101011101,1001101001,1111000000	True
10	2	0001100011,0010010010,0111000101,1000010110,1011100101,1110000011,1111100110	True
10	2	0001000000,0010101010,0011111000,0100010110,0110010001,1100111010,1111110110	True
10	2	0001010000,0011000110,0011001000,0011100001,0101101110,0111010101,1001001111	True
10	2	0001111111,0101010100,0110001100,1000010101,1101100100,1110110100,1111011101	True
10	2	0001000101,0011110010,0100100110,0101010001,0110000001,1001010011,1111010100	True
10	2	0000001011,0010010100,0011001101,1000010001,1101000100,1101011000,1111011111	True
10	2	0011000101,1000100000,1000111111,1010001011,1101110001,1110100110,1110101101	True
10	2	0010100010,0011011001,0101101001,1000110001,1001001101,1011001011,1011100101	True
10	2	0000100100,0001111010,0100100010,0101001100,0110111111,1101101101,1110101100	True
10	2	0100100110,0101110100,0110100101,0110111111,1010111100,1101101000,1101110101	True
10	2	0101100000,0110101110,0111100111,1000100111,1001001011,1100000111,1100101001	True
10	2	0001001011,0011001000,0101010010,1000000001,1100001001,1101000101,1111010001	True
10	2	0001011000,0010000111,0011101010,0101110110,1001010111,1100010010,1101001011	True
10	2	0100000011,0101111101,0110000101,0111111000,1100010001,1100100010,1110011111	True
6	2	000011,100010,100101,101111,110111	True
6	2	001110,001111,011000,101010,101101	True
6	2	000011,001110,100011,110110,111111	True
6	2	000010,001111,010001,011010,111001	True
6	2	000010,000110,011111,100011,110010	True
6	2	001100,010100,010101,100101,111001	True
6	2	001010,011000,011111,111010,111100	True
6	2	000111,010011,100000,101001,111111	True
6	2	000111,100010,100100,101110,111111	True
6	2	001101,010100,100101,101110,111111	True
6	2	001101,010111,011110,110110,111101	True
6	2	000111,001000,010110,100000,111100	True
6	2	000000,000100,001111,011001,011110	True
6	2	000110,010010,010101,011111,111111	True
6	2	001000,001111,011010,011100,101111	True
6	2	011001,011110,101000,111010,111100	True
6	2	001011,010001,011111,100101,111000	True
6	2	001100,010000,100000,100010,110110	True
6	2	010101,011100,100001,110000,111101	True
6	2	010001,011100,110100,110101,111010	True
6	2	001010,001111,010001,010110,111101	True
6	2	001100,010010,100001,100100,101010	True
6	2	000111,011101,101001,111011,111110	True
6	2	000110,001101,011000,011111,100100	True
6	2	000101,010000,010110,101110,110101	True
6	2	000010,010111,011110,110000,110110	True
6	2	000110,010101,100000,101100,110000	True
6	2	010000,100000,100100,110001,110110	True
6	2	000110,010000,010011,011001,110101	True
6	2	000100,010111,100010,110101,111000	True
6	2	010100,100100,101001,110001,111010	True
6	2	000011,100101,110100,111001,111111	True
6	2	001010,001101,011000,011011,101101	True
6	2	000000,001111,010001,011101,100101	True
6	2	000000,010101,100011,101100,110100	True
6	2	001011,100111,110001,111101,111111	True
6	2	010110,011000,011011,100000,110101	True
6	2	001110,011111,101111,110101,111100	True
6	2	001001,001010,010110,011011,100011	True
6	2	000001,010011,011010,011101,110100	True
6	2	001100,001111,011101,100101,101011	True
6	2	000100,001001,011011,100010,110001	True
6	2	001100,011001,110101,111000,111111	True
6	2	000100,101111,110111,111010,111100	True
6	2	010011,100010,101011,111101,111110	True
6	2	000000,001001,010111,110001,111101	True
6	2	000000,000111,001111,100101,100110	True
6	2	001000,011111,100010,101100,111010	True
6	2	000001,001100,011000,011010,100010	True
6	2	000000,010010,011110,101010,110000	True
9	2	000010111,010000010,010111111,011110011,101000111,101001001,111110101	True
9	2	000000111,010010100,011101101,011111011,101110111,110010110,110100001	True
9	2	001110001,010000000,010111000,101011100,110110011,111011011,111111010	True
9	2	000001110,001110100,011001000,011100110,110011001,110101101,110110000	True
9	2	010010100,010101111,100100100,101000001,101100110,110001100,110011111	True
9	2	001010100,011011100,100011010,101000010,101001111,101111010,111101000	True
9	2	001001111,010010011,011000010,101010001,101100101,110000001,110010110	True
9	2	001111001,010100010,100010001,101010000,111011010,111101100,111111111	True
9	2	000001110,001001100,001111111,010101010,110000101,111001010,111010110	True
9	2	000011010,001111101,011001011,011111110,101111110,110010110,110011100	True
9	2	000111001,001001101,010000010,010000101,010010110,011111000,110100000	True
9	2	000101100,010011111,011011011,011111010,100011001,101011111,110001110	True
9	2	000101000,001000001,011111001,110001101,110010001,110110011,111100001	True
9	2	000001101,011000011,011100111,100101010,101101111,110111001,111101001	True
9	2	000010001,000101010,000110100,001001100,010110101,110011000,111110010	True
9	2	000011100,001001001,011011111,011101100,100111010,111001100,111101001	True
9	2	010111110,011000111,011100000,101001010,110011100,110100101,111101101	True
9	2	000001110,000011101,011110100,101010000,101101100,110110111,111111011	True
9	2	000000110,001000101,010001011,100000111,100100010,101001011,111010001	True
9	2	000010111,000100001,000110110,001011001,010001111,010111101,011111111	True
9	2	001011011,001101111,100100000,100110110,101001001,101001110,111110110	True
9	2	001100100,010110011,011100110,100010000,101110011,110101011,111010001	True
9	2	000001100,000111111,010000100,100101110,101111101,110000111,110101101	True
9	2	000110011,001011101,001111110,101011011,101100100,110111001,111100100	True
9	2	000100000,000111100,101000011,101001000,101100010,110101111,111000110	True
9	2	000000101,000011000,011001100,011010101,101010111,101110010,110010101	True
9	2	000001000,010011101,011100101,100000111,101011001,101111101,110001110	True
9	2	001001100,001100001,010000111,010010101,010101001,101000010,111000110	True
9	2	000111001,001001110,011000000,011011000,011110101,110010111,110101110	True
9	2	001000100,001110111,010100010,011101111,011110001,101101000,111001011	True
9	2	000010000,001101010,011001000,101011011,101100011,110000010,110011001	True
9	2	000001111,010000100,010110011,011001010,110101001,110111100,111001100	True
9	2	001011101,011100111,011110000,011111001,011111011,101010011,110011101	True
9	2	001110011,011000000,011100101,011110010,100111000,110100001,111011011	True
9	2	000001000,010001010,011011111,011100100,101001101,110010110,111100001	True
9	2	000000001,000101011,000110101,001010110,010000111,100010000,110100100	True
9	2	000110000,001111110,010001101,011000101,011100000,100101110,100111101	True
9	2	000011110,000110110,000111100,001000010,010100000,011010000,110000000	True
9	2	001000000,001010110,010001110,010110001,110001101,110011010,111011010	True
9	2	010001100,011001100,100101010,100110100,101011110,110000001,111000010	True
9	2	001011111,011001010,100000111,100101111,100111011,110011111,111100101	True
9	2	000100000,001110000,010001100,011000101,100001001,110000010,111101111	True
9	2	000011100,001001010,001010001,001111110,010110100,011011110,100110000	True
9	2	000000001,000111110,001101011,001101101,011100101,101010110,110110011	True
9	2	000001001,010100110,100001100,101100111,110001111,110101100,111101100	True
9	2	000011110,001011001,001100110,101101000,111000101,111001011,111110101	True
9	2	000001111,000110010,001111101,010100100,010101011,010101110,100001001	True
9	2	000000111,001011010,011001110,110100010,110111110,111010001,111110101	True
9	2	001001110,010000001,100100011,100100101,101000000,101110011,111001101	True
9	2	000110100,001100110,011000010,011101010,100011010,100011100,110000111	True
2	2	00,01	True
2	2	10,11	True
2	2	00,10	True
2	2	00,01	True
2	2	00,01	True
2	2	00,10	True
1	2	0	True
1	2	0	True
7	2	0011001,0101110,0111100,1001100,1010010,1101111	True
7	2	0110010,0110101,1000001,1011000,1100000,1110001	True
7	2	0000000,0001011,1000110,1010001,1011000,1100010	True
7	2	0000110,0010100,1001110,1010000,1100000,1100101	True
7	2	0000110,0010000,0101011,0110110,0111111,1100111	True
7	2	0000111,0011011,0110001,1100001,1110001,1110010	True
7	2	0001101,0111110,1001111,1010110,1110100,1111101	True
7	2	0000111,0011010,0101101,0101110,1001101,1100010	True
7	2	0000001,0001100,0100100,0111001,1011101,1111000	True
7	2	0000000,0010110,0011101,0110100,0111001,1000101	True
7	2	0000011,0001001,0100101,1011111,1100100,1110101	True
7	2	0111001,1010010,1011001,1100010,1110001,1111100	True
7	2	0101101,1000001,1001110,1011111,1111001,1111100	True
7	2	0000011,0010000,0010110,0101010,1001100,1011100	True
7	2	0001101,0110011,1010001,1010011,1100000,1100111	True
7	2	0000010,1000101,1001100,1010111,1011001,1101001	True
7	2	0011010,1001011,1010100,1010111,1101111,1111000	True
7	2	0001010,0100101,0110011,1010111,1101010,1101101	True
7	2	0001011,0010111,0100100,0100110,0101101,1011100	True
